B2,B3,B4,B5,B6,B7,B8,class
176.0,400.0,250.0,252.0,156.0,172.0,119.0,80
203.0,288.5,184.5,267.0,121.5,127.5,109.0,80
28.258621215820312,88.94117736816406,90.44444274902344,224.34616088867188,220.125,223.1666717529297,95.74359130859375,80
45.0,76.0,40.0,43.0,33.0,62.0,43.0,80
269.0,449.0,600.0,506.0,539.0,613.0,1078.0,80
417.0,564.0,723.0,845.0,985.0,1071.0,1710.0,80
1522.0,2079.5,2576.0,2607.5,3222.0,3331.5,3231.0,80
450.0,720.0,739.0,1045.5,1455.5,1568.5,1133.0,80
46.5,143.5,153.5,547.0,634.0,681.0,419.0,80
45.0,87.5,27.0,24.0,1.5,10.0,6.0,80
76.5,85.0,70.0,66.0,47.5,85.5,64.0,80
86.5,96.5,52.5,71.0,79.0,75.0,87.5,80
14.0,48.5,0.0,0.0,0.0,0.0,0.0,80
1185.0,1365.0,1418.0,1539.0,1530.0,1562.0,1471.0,80
234.5,269.5,181.5,232.0,128.5,126.0,100.0,80
96.0,184.0,116.0,132.0,57.0,74.0,57.0,80
68.5,88.5,77.5,64.5,46.0,61.0,49.0,80
209.0,268.0,176.5,273.5,133.5,127.5,102.5,80
211.5,280.5,186.0,248.0,133.5,132.0,103.5,80
433.0,732.0,541.0,849.0,919.5,1025.0,995.5,80
1192.0,1508.0,1735.0,1810.5,1897.5,1977.0,1902.0,80
69.0,115.0,52.0,61.0,53.0,62.0,50.0,80
334.0,603.0,409.0,1040.5,1119.0,1159.5,776.0,80
710.0,1107.0,1057.0,889.0,828.0,895.0,1270.0,80
57.0,101.0,97.5,153.5,113.5,137.5,78.0,80
113.0,170.0,102.0,84.0,40.0,59.0,43.0,80
251.5,419.0,246.5,460.0,432.0,406.0,385.0,80
126.0,235.5,234.5,651.5,741.0,851.0,376.0,80
239.0,453.5,408.0,749.5,868.0,956.0,924.0,80
519.0,686.0,849.5,724.0,766.5,825.0,1236.0,80
65.0,193.0,177.0,592.0,593.0,693.0,203.0,80
43.0,116.0,77.0,48.0,32.0,41.0,121.0,80
542.0,673.5,789.5,1026.0,1153.0,1252.5,1265.0,80
52.0,75.0,55.0,46.0,22.5,36.0,24.0,80
121.0,176.0,122.0,307.0,321.0,389.0,89.0,80
39.0,93.0,34.0,20.0,8.0,20.0,17.0,80
232.5,261.5,186.5,218.5,134.0,136.5,113.5,80
434.0,516.0,435.0,549.0,323.0,336.5,311.5,80
140.0,322.0,270.0,409.0,167.0,193.0,154.0,80
230.0,296.0,202.5,300.0,165.5,165.0,133.5,80
115.0,217.5,221.0,261.0,114.0,161.5,154.5,80
238.0,578.0,252.0,995.5,1100.0,995.5,773.0,80
573.0,883.5,657.5,1054.5,1142.0,1165.5,912.0,80
198.5,279.5,173.5,273.0,121.5,119.5,91.5,80
481.0,586.5,738.5,827.5,928.5,1038.0,1166.0,80
333.5,472.0,624.0,556.0,660.0,744.5,1169.0,80
